ID,FPS
7,2.5
7,42.969906
7,11.267327
7,30.076633
7,43.872353
7,42.297428
7,45.260342
7,47.641727
7,43.223808
7,45.861244
7,47.727917
7,41.131275
7,47.677166
7,45.654594
7,42.779648
7,48.807636
7,47.669662
7,51.882023
7,45.263004
7,48.26487
7,47.838882
7,50.558674
7,44.425884
7,47.118465
7,47.335934
7,49.844238
7,43.583241
7,46.898815
7,52.452957
7,41.751213
7,44.100853
7,46.495838
7,45.617313
7,44.092876
7,46.905857
7,50.340298
7,45.001671
7,47.283115
7,51.136505
7,48.060753
7,45.964542
7,48.797386
7,51.064171
7,48.142197
7,44.374432
